ID do Cliente,Churn,Gênero,Idoso,Parceiro,Dependentes,Tempo de Assinatura(M),Serviço Telefônico,Múltiplas Linhas,Serviço de Internet,Segurança Online,Backup Online,Proteção de Dispositivo,Suporte Técnico,Streaming de TV,Streaming de Filmes,Contrato,Fatura Online,Método de Pagamento,Cobrança Mensal,Cobrança Total
0022-TCJCI,Sim,Homem,Sim,Não,Não,45,Sim,Não,DSL,Sim,Não,Sim,Não,Não,Sim,Anual,Não,Cartão de crédito (automático),62.7,2791.5
0023-HGHWL,Sim,Homem,Sim,Não,Não,1,Não,Sem seviço de Telefone,DSL,Não,Não,Não,Não,Não,Não,Mensal,Sim,Cheque eletrônico,25.1,25.1
0023-UYUPN,Não,Mulher,Sim,Sim,Não,50,Sim,Sim,Não,Sem serviço de Internet,Sem serviço de Internet,Sem serviço de Internet,Sem serviço de Internet,Sem serviço de Internet,Sem serviço de Internet,Anual,Não,Cheque eletrônico,25.2,1306.3
0023-XUOPT,Sim,Mulher,Não,Sim,Não,13,Sim,Sim,Fiber optic,Não,Sim,Sim,Não,Sim,Não,Mensal,Não,Cheque eletrônico,94.1,1215.6
0027-KWYKW,Não,Mulher,Não,Sim,Sim,23,Sim,Sim,Fiber optic,Não,Não,Não,Não,Sim,Não,Mensal,Sim,Cheque eletrônico,83.75,1849.95
0030-FNXPP,Não,Mulher,Não,Não,Não,3,Sim,Não,Não,Sem serviço de Internet,Sem serviço de Internet,Sem serviço de Internet,Sem serviço de Internet,Sem serviço de Internet,Sem serviço de Internet,Mensal,Não,Cheque impresso,19.85,57.2
0031-PVLZI,Sim,Mulher,Não,Sim,Sim,4,Sim,Não,Não,Sem serviço de Internet,Sem serviço de Internet,Sem serviço de Internet,Sem serviço de Internet,Sem serviço de Internet,Sem serviço de Internet,Mensal,Não,Cheque impresso,20.35,76.35
0032-PGELS,Sim,Mulher,Não,Sim,Sim,1,Não,Sem seviço de Telefone,DSL,Sim,Não,Não,Não,Não,Não,Mensal,Não,Transferência bancária (automática),30.5,30.5
0036-IHMOT,Não,Mulher,Não,Sim,Sim,55,Sim,Não,Fiber optic,Não,Sim,Sim,Sim,Sim,Sim,Anual,Sim,Transferência bancária (automática),103.7,5656.75
0040-HALCW,Não,Homem,Não,Sim,Sim,54,Sim,Não,Não,Sem serviço de Internet,Sem serviço de Internet,Sem serviço de Internet,Sem serviço de Internet,Sem serviço de Internet,Sem serviço de Internet,Bienal,Não,Cartão de crédito (automático),20.4,1090.6
0042-JVWOJ,Não,Homem,Não,Não,Não,26,Sim,Não,Não,Sem serviço de Internet,Sem serviço de Internet,Sem serviço de Internet,Sem serviço de Internet,Sem serviço de Internet,Sem serviço de Internet,Anual,Sim,Transferência bancária (automática),19.6,471.85
0042-RLHYP,Não,Mulher,Não,Sim,Sim,69,Sim,Não,Não,Sem serviço de Internet,Sem serviço de Internet,Sem serviço de Internet,Sem serviço de Internet,Sem serviço de Internet,Sem serviço de Internet,Bienal,Não,Transferência bancária (automática),19.7,1396.9
0048-LUMLS,Não,Homem,Não,Sim,Sim,37,Sim,Não,Fiber optic,Não,Não,Não,Não,Sim,Sim,Anual,Não,Cartão de crédito (automático),91.2,3247.55
0048-PIHNL,Não,Mulher,Não,Sim,Não,49,Sim,Não,Não,Sem serviço de Internet,Sem serviço de Internet,Sem serviço de Internet,Sem serviço de Internet,Sem serviço de Internet,Sem serviço de Internet,Anual,Não,Transferência bancária (automática),20.45,900.9
0052-DCKON,Não,Homem,Não,Sim,Não,66,Sim,Sim,Fiber optic,Sim,Sim,Sim,Sim,Sim,Sim,Anual,Não,Transferência bancária (automática),115.8,7942.15
0052-YNYOT,Não,Mulher,Não,Não,Não,67,Sim,Não,Não,Sem serviço de Internet,Sem serviço de Internet,Sem serviço de Internet,Sem serviço de Internet,Sem serviço de Internet,Sem serviço de Internet,Anual,Não,Cheque eletrônico,20.55,1343.4
0056-EPFBG,Não,Homem,Não,Sim,Sim,20,Não,Sem seviço de Telefone,DSL,Sim,Não,Sim,Sim,Não,Não,Bienal,Sim,Cartão de crédito (automático),39.4,825.4
0057-QBUQH,Não,Mulher,Não,Não,Sim,43,Sim,Sim,Não,Sem serviço de Internet,Sem serviço de Internet,Sem serviço de Internet,Sem serviço de Internet,Sem serviço de Internet,Sem serviço de Internet,Bienal,Sim,Cheque eletrônico,25.1,1070.15
0058-EVZWM,Não,Mulher,Não,Sim,Não,55,Sim,Sim,Fiber optic,Sim,Não,Não,Não,Sim,Não,Mensal,Sim,Transferência bancária (automática),89.8,4959.6
0060-FUALY,Não,Mulher,Não,Sim,Não,59,Sim,Sim,Fiber optic,Sim,Sim,Não,Não,Sim,Não,Mensal,Sim,Cheque eletrônico,94.75,5597.65
0064-SUDOG,Não,Mulher,Não,Sim,Sim,12,Sim,Não,Não,Sem serviço de Internet,Sem serviço de Internet,Sem serviço de Internet,Sem serviço de Internet,Sem serviço de Internet,Sem serviço de Internet,Bienal,Não,Transferência bancária (automática),20.3,224.5
0064-YIJGF,Não,Homem,Não,Sim,Sim,27,Sim,Sim,Fiber optic,Não,Não,Não,Não,Não,Não,Mensal,Sim,Transferência bancária (automática),75.75,1929.0
0067-DKWBL,Sim,Homem,Sim,Não,Não,2,Sim,Não,DSL,Sim,Não,Não,Não,Não,Não,Mensal,Sim,Cheque eletrônico,49.25,91.1
0068-FIGTF,Não,Mulher,Não,Não,Não,27,Sim,Não,DSL,Não,Sim,Sim,Sim,Sim,Sim,Anual,Não,Cheque impresso,78.2,2078.95
0071-NDAFP,Não,Homem,Não,Sim,Sim,25,Sim,Sim,Não,Sem serviço de Internet,Sem serviço de Internet,Sem serviço de Internet,Sem serviço de Internet,Sem serviço de Internet,Sem serviço de Internet,Bienal,Não,Cartão de crédito (automático),25.5,630.6
0074-HDKDG,Não,Homem,Não,Sim,Sim,25,Sim,Não,DSL,Sim,Sim,Sim,Não,Não,Não,Anual,Sim,Transferência bancária (automática),61.6,1611.0
0076-LVEPS,Não,Homem,Não,Não,Sim,29,Não,Sem seviço de Telefone,DSL,Sim,Sim,Sim,Sim,Não,Não,Mensal,Sim,Cheque impresso,45.0,1242.45
0078-XZMHT,Não,Homem,Não,Sim,Não,72,Sim,Sim,DSL,Não,Sim,Sim,Sim,Sim,Sim,Bienal,Sim,Transferência bancária (automática),85.15,6316.2
0080-EMYVY,Não,Mulher,Não,Não,Não,14,Sim,Não,DSL,Não,Sim,Não,Não,Não,Não,Anual,Não,Cartão de crédito (automático),51.45,727.85
0080-OROZO,Não,Mulher,Não,Não,Não,35,Sim,Não,Fiber optic,Não,Não,Sim,Sim,Sim,Sim,Anual,Sim,Cheque eletrônico,99.25,3532.0
0082-LDZUE,Não,Homem,Não,Não,Não,1,Sim,Não,DSL,Não,Não,Não,Não,Não,Não,Mensal,Sim,Cheque impresso,44.3,44.3
0082-OQIQY,Não,Homem,Não,Não,Não,29,Sim,Não,Fiber optic,Não,Não,Não,Sim,Sim,Sim,Mensal,Sim,Cheque eletrônico,94.2,2607.6
0083-PIVIK,Não,Homem,Não,Não,Não,64,Sim,Sim,DSL,Sim,Sim,Sim,Sim,Sim,Não,Anual,Não,Cheque eletrônico,81.25,5567.55
0089-IIQKO,Não,Mulher,Não,Sim,Sim,39,Sim,Sim,Fiber optic,Não,Não,Não,Sim,Sim,Sim,Mensal,Sim,Cartão de crédito (automático),99.95,3767.4
0093-EXYQL,Não,Mulher,Sim,Não,Não,40,Sim,Não,Fiber optic,Não,Não,Não,Não,Sim,Sim,Mensal,Sim,Cheque eletrônico,91.55,3673.6
0093-XWZFY,Sim,Homem,Não,Não,Não,40,Sim,Sim,Fiber optic,Não,Sim,Sim,Não,Sim,Sim,Mensal,Sim,Cartão de crédito (automático),104.5,4036.85
0094-OIFMO,Sim,Mulher,Sim,Não,Não,11,Sim,Não,Fiber optic,Não,Sim,Não,Não,Sim,Sim,Mensal,Sim,Cheque eletrônico,95.0,1120.3
0096-BXERS,Não,Mulher,Não,Sim,Não,6,Sim,Sim,DSL,Não,Não,Não,Não,Não,Não,Mensal,Não,Cheque eletrônico,50.35,314.55
0096-FCPUF,Não,Homem,Não,Não,Não,30,Sim,Sim,DSL,Sim,Não,Não,Não,Não,Sim,Mensal,Sim,Cheque impresso,64.5,1888.45
0098-BOWSO,Não,Homem,Não,Não,Não,27,Sim,Não,Não,Sem serviço de Internet,Sem serviço de Internet,Sem serviço de Internet,Sem serviço de Internet,Sem serviço de Internet,Sem serviço de Internet,Mensal,Sim,Cheque eletrônico,19.4,529.8
0100-DUVFC,Não,Homem,Sim,Sim,Não,70,Sim,Sim,Fiber optic,Não,Sim,Sim,Não,Sim,Sim,Anual,Sim,Cheque eletrônico,104.8,7308.95
0103-CSITQ,Não,Mulher,Não,Sim,Não,57,Sim,Sim,Fiber optic,Não,Sim,Sim,Sim,Sim,Sim,Anual,Sim,Transferência bancária (automática),109.4,6252.7
0104-PPXDV,Não,Homem,Não,Sim,Não,58,Sim,Não,DSL,Não,Não,Sim,Não,Não,Não,Anual,Não,Cartão de crédito (automático),50.3,2878.55
0106-GHRQR,Não,Homem,Não,Não,Não,16,Sim,Sim,DSL,Não,Sim,Sim,Não,Não,Sim,Mensal,Sim,Transferência bancária (automática),71.4,1212.1
0106-UGRDO,Não,Mulher,Não,Sim,Não,69,Sim,Sim,Fiber optic,Sim,Sim,Sim,Sim,Sim,Sim,Bienal,Sim,Cheque eletrônico,116.0,8182.85
0107-WESLM,Sim,Homem,Não,Não,Não,1,Sim,Não,Não,Sem serviço de Internet,Sem serviço de Internet,Sem serviço de Internet,Sem serviço de Internet,Sem serviço de Internet,Sem serviço de Internet,Mensal,Sim,Cheque eletrônico,19.85,19.85
0107-YHINA,Sim,Homem,Não,Não,Sim,1,Sim,Sim,Fiber optic,Não,Não,Sim,Não,Sim,Sim,Mensal,Sim,Cheque eletrônico,99.75,99.75
0111-KLBQG,Não,Homem,Sim,Sim,Sim,32,Sim,Não,Fiber optic,Não,Sim,Não,Não,Sim,Sim,Mensal,Sim,Cheque impresso,93.95,2861.45
0112-QAWRZ,Não,Homem,Não,Sim,Sim,16,Sim,Sim,Fiber optic,Não,Não,Sim,Não,Sim,Não,Mensal,Sim,Transferência bancária (automática),90.8,1442.2
0112-QWPNC,Sim,Homem,Não,Sim,Não,49,Sim,Sim,DSL,Sim,Não,Sim,Sim,Sim,Sim,Anual,Não,Cheque eletrônico,84.35,4059.35
0114-IGABW,Não,Mulher,Não,Sim,Não,71,Não,Sem seviço de Telefone,DSL,Não,Sim,Sim,Sim,Sim,Sim,Bienal,Não,Transferência bancária (automática),58.25,4145.9
0114-PEGZZ,Não,Mulher,Não,Não,Não,33,Sim,Sim,Fiber optic,Não,Sim,Sim,Não,Sim,Sim,Mensal,Não,Cheque eletrônico,107.55,3645.5
0114-RSRRW,Não,Mulher,Não,Sim,Não,10,Sim,Não,Não,Sem serviço de Internet,Sem serviço de Internet,Sem serviço de Internet,Sem serviço de Internet,Sem serviço de Internet,Sem serviço de Internet,Mensal,Sim,Transferência bancária (automática),19.95,187.75
0115-TFERT,Sim,Homem,Não,Sim,Não,21,Sim,Sim,Fiber optic,Não,Sim,Sim,Sim,Sim,Sim,Mensal,Sim,Cheque eletrônico,111.2,2317.1
0117-LFRMW,Sim,Homem,Não,Sim,Sim,37,Não,Sem seviço de Telefone,DSL,Sim,Sim,Sim,Não,Não,Não,Mensal,Não,Transferência bancária (automática),40.2,1448.8
0118-JPNOY,Não,Mulher,Sim,Não,Não,26,Sim,Não,Fiber optic,Sim,Não,Não,Não,Sim,Não,Mensal,Sim,Cartão de crédito (automático),85.8,2193.65
0121-SNYRK,Não,Homem,Não,Não,Não,50,Não,Sem seviço de Telefone,DSL,Sim,Não,Não,Sim,Não,Não,Anual,Sim,Cheque impresso,35.4,1748.9
0122-OAHPZ,Sim,Mulher,Não,Não,Não,7,Sim,Sim,Fiber optic,Não,Não,Não,Não,Não,Não,Mensal,Sim,Cheque eletrônico,73.85,511.25
0123-CRBRT,Não,Mulher,Não,Sim,Sim,61,Sim,Sim,DSL,Sim,Sim,Sim,Sim,Sim,Sim,Bienal,Não,Cheque impresso,88.1,5526.75
0125-LZQXK,Sim,Homem,Não,Não,Não,15,Sim,Não,Fiber optic,Não,Não,Sim,Sim,Sim,Sim,Mensal,Sim,Cheque eletrônico,101.35,1553.95
0128-MKWSG,Não,Mulher,Não,Não,Sim,26,Não,Sem seviço de Telefone,DSL,Sim,Não,Não,Sim,Não,Sim,Mensal,Não,Cheque impresso,45.8,1147.0
0129-KPTWJ,Não,Homem,Não,Sim,Não,72,Sim,Não,Fiber optic,Não,Não,Sim,Não,Sim,Sim,Mensal,Sim,Cheque eletrônico,94.65,6747.35
0129-QMPDR,Não,Homem,Não,Sim,Sim,44,Sim,Não,Não,Sem serviço de Internet,Sem serviço de Internet,Sem serviço de Internet,Sem serviço de Internet,Sem serviço de Internet,Sem serviço de Internet,Anual,Sim,Transferência bancária (automática),20.5,865.05
0130-SXOUN,Não,Homem,Não,Não,Não,66,Sim,Sim,Fiber optic,Não,Sim,Não,Não,Não,Sim,Mensal,Não,Cartão de crédito (automático),89.4,5976.9
0133-BMFZO,Sim,Mulher,Não,Não,Não,2,Sim,Não,Fiber optic,Sim,Sim,Não,Sim,Não,Não,Mensal,Sim,Cheque eletrônico,86.25,181.65
0134-XWXCE,Não,Mulher,Sim,Não,Não,44,Sim,Não,DSL,Não,Não,Sim,Sim,Sim,Sim,Anual,Não,Transferência bancária (automática),74.85,3268.05
0135-NMXAP,Sim,Mulher,Não,Não,Não,12,Sim,Sim,Fiber optic,Não,Sim,Não,Não,Sim,Não,Mensal,Sim,Transferência bancária (automática),89.75,1052.4
0136-IFMYD,Não,Homem,Sim,Sim,Não,69,Sim,Sim,Fiber optic,Não,Sim,Sim,Sim,Sim,Sim,Bienal,Sim,Cheque eletrônico,109.95,7634.25
0137-OCGAB,Sim,Mulher,Não,Não,Não,1,Sim,Sim,Fiber optic,Não,Sim,Não,Não,Não,Não,Mensal,Sim,Cheque impresso,80.2,80.2
0137-UDEUO,Sim,Mulher,Não,Não,Não,3,Sim,Não,Não,Sem serviço de Internet,Sem serviço de Internet,Sem serviço de Internet,Sem serviço de Internet,Sem serviço de Internet,Sem serviço de Internet,Mensal,Não,Cheque impresso,19.85,63.75
0139-IVFJG,Não,Mulher,Não,Sim,Não,2,Sim,Não,Fiber optic,Sim,Sim,Não,Não,Sim,Não,Mensal,Não,Cheque eletrônico,90.35,190.5
0141-YEAYS,Não,Mulher,Sim,Não,Não,27,Sim,Sim,Fiber optic,Não,Sim,Sim,Não,Não,Não,Mensal,Sim,Transferência bancária (automática),86.45,2401.05
0142-GVYSN,Não,Homem,Não,Não,Não,26,Sim,Não,Não,Sem serviço de Internet,Sem serviço de Internet,Sem serviço de Internet,Sem serviço de Internet,Sem serviço de Internet,Sem serviço de Internet,Mensal,Sim,Cheque eletrônico,20.3,511.25
0147-ESWWR,Não,Mulher,Sim,Sim,Não,39,Sim,Sim,Fiber optic,Não,Não,Não,Sim,Sim,Sim,Mensal,Sim,Cheque eletrônico,101.25,3949.15
0148-DCDOS,Sim,Homem,Não,Não,Não,25,Sim,Sim,Fiber optic,Não,Não,Não,Não,Sim,Sim,Mensal,Sim,Transferência bancária (automática),94.7,2362.1
0151-ONTOV,Sim,Mulher,Não,Não,Não,1,Sim,Não,Fiber optic,Não,Não,Não,Não,Não,Não,Mensal,Não,Cheque impresso,70.9,70.9
0156-FVPTA,Sim,Homem,Não,Sim,Não,22,Sim,Não,DSL,Sim,Não,Não,Sim,Não,Não,Mensal,Sim,Cheque eletrônico,54.2,1152.7
0164-APGRB,Não,Mulher,Não,Não,Não,72,Sim,Sim,Fiber optic,Sim,Sim,Sim,Sim,Sim,Sim,Bienal,Sim,Cheque eletrônico,114.9,8496.7
0164-XAIRP,Não,Mulher,Não,Não,Não,24,Sim,Não,Não,Sem serviço de Internet,Sem serviço de Internet,Sem serviço de Internet,Sem serviço de Internet,Sem serviço de Internet,Sem serviço de Internet,Bienal,Sim,Transferência bancária (automática),19.55,470.2
0168-XZKBB,Não,Mulher,Não,Sim,Não,19,Sim,Sim,Fiber optic,Não,Não,Não,Não,Sim,Não,Mensal,Sim,Cheque eletrônico,86.85,1564.4
0174-QRVVY,Não,Homem,Não,Sim,Sim,71,Sim,Sim,Não,Sem serviço de Internet,Sem serviço de Internet,Sem serviço de Internet,Sem serviço de Internet,Sem serviço de Internet,Sem serviço de Internet,Bienal,Não,Cartão de crédito (automático),25.35,1847.55
0177-PXBAT,Não,Homem,Sim,Sim,Não,33,Sim,Sim,Fiber optic,Sim,Não,Sim,Sim,Sim,Sim,Mensal,Sim,Transferência bancária (automática),109.9,3694.7
0178-CIIKR,Não,Mulher,Não,Não,Não,3,Sim,Não,Não,Sem serviço de Internet,Sem serviço de Internet,Sem serviço de Internet,Sem serviço de Internet,Sem serviço de Internet,Sem serviço de Internet,Mensal,Não,Cheque impresso,19.95,58.0
0178-SZBHO,Não,Homem,Não,Sim,Sim,47,Sim,Sim,Fiber optic,Não,Sim,Não,Não,Sim,Não,Mensal,Não,Cheque eletrônico,87.2,4017.45
0181-RITDD,Não,Homem,Não,Sim,Sim,62,Sim,Não,Fiber optic,Sim,Sim,Sim,Sim,Sim,Sim,Bienal,Não,Cheque impresso,108.15,6825.65
0186-CAERR,Não,Homem,Não,Não,Não,71,Sim,Sim,Fiber optic,Sim,Sim,Sim,Sim,Sim,Sim,Anual,Sim,Transferência bancária (automática),116.3,8309.55
0187-QSXOE,Não,Homem,Sim,Sim,Não,7,Sim,Não,Fiber optic,Não,Não,Não,Não,Sim,Sim,Mensal,Sim,Cheque eletrônico,89.0,605.45
0187-WZNAB,Não,Mulher,Não,Sim,Sim,27,Sim,Não,Fiber optic,Sim,Não,Não,Não,Não,Não,Mensal,Não,Cheque impresso,74.4,1972.35
0188-GWFLE,Não,Homem,Não,Não,Não,2,Sim,Não,Não,Sem serviço de Internet,Sem serviço de Internet,Sem serviço de Internet,Sem serviço de Internet,Sem serviço de Internet,Sem serviço de Internet,Mensal,Não,Cheque impresso,20.05,33.7
0191-EQUUH,Não,Mulher,Não,Não,Sim,25,Não,Sem seviço de Telefone,DSL,Sim,Não,Não,Sim,Não,Não,Bienal,Não,Transferência bancária (automática),35.05,844.45
0191-ZHSKZ,Não,Homem,Sim,Não,Não,30,Sim,Não,DSL,Sim,Sim,Não,Não,Sim,Sim,Mensal,Sim,Cheque eletrônico,74.75,2111.3
0193-ESZXP,Sim,Mulher,Sim,Sim,Não,58,Sim,Não,Fiber optic,Sim,Sim,Não,Sim,Sim,Sim,Anual,Sim,Cartão de crédito (automático),105.5,6205.5
0195-IESCP,Sim,Homem,Não,Sim,Não,10,Sim,Sim,Fiber optic,Não,Não,Não,Não,Não,Sim,Mensal,Sim,Cheque eletrônico,85.25,855.3
0196-JTUQI,Não,Mulher,Não,Não,Não,9,Sim,Sim,Fiber optic,Não,Não,Não,Não,Não,Não,Mensal,Sim,Cartão de crédito (automático),75.2,633.85
0196-VULGZ,Sim,Mulher,Sim,Sim,Não,6,Sim,Sim,Fiber optic,Não,Não,Não,Não,Não,Sim,Mensal,Sim,Cheque eletrônico,84.35,474.9
0197-PNKNK,Não,Mulher,Não,Sim,Sim,69,Sim,Sim,Fiber optic,Sim,Não,Sim,Não,Não,Não,Anual,Não,Transferência bancária (automática),84.45,5848.6
0201-MIBOL,Não,Mulher,Sim,Não,Não,66,Sim,Sim,Fiber optic,Sim,Não,Não,Não,Sim,Sim,Bienal,Sim,Transferência bancária (automática),102.4,6471.85
0201-OAMXR,Sim,Mulher,Não,Não,Não,70,Sim,Sim,Fiber optic,Sim,Sim,Sim,Sim,Sim,Sim,Anual,Não,Cartão de crédito (automático),115.55,8127.6
0203-HHYIJ,Sim,Homem,Não,Não,Não,25,Sim,Sim,Não,Sem serviço de Internet,Sem serviço de Internet,Sem serviço de Internet,Sem serviço de Internet,Sem serviço de Internet,Sem serviço de Internet,Anual,Não,Transferência bancária (automática),25.3,676.35
0206-OYVOC,Não,Mulher,Não,Sim,Sim,46,Sim,Não,Não,Sem serviço de Internet,Sem serviço de Internet,Sem serviço de Internet,Sem serviço de Internet,Sem serviço de Internet,Sem serviço de Internet,Bienal,Sim,Cheque impresso,19.25,864.2
0206-TBWLC,Não,Mulher,Não,Sim,Não,54,Sim,Sim,Fiber optic,Sim,Sim,Sim,Sim,Sim,Sim,Anual,Sim,Cheque impresso,114.65,6049.5
0207-MDKNV,Sim,Mulher,Não,Não,Não,15,Sim,Não,Fiber optic,Sim,Não,Sim,Sim,Sim,Sim,Mensal,Não,Cheque eletrônico,105.1,1582.75
0208-BPQEJ,Não,Mulher,Não,Sim,Sim,12,Sim,Não,Não,Sem serviço de Internet,Sem serviço de Internet,Sem serviço de Internet,Sem serviço de Internet,Sem serviço de Internet,Sem serviço de Internet,Mensal,Não,Transferência bancária (automática),19.4,198.1
0212-ISBBF,Não,Mulher,Não,Não,Não,22,Não,Sem seviço de Telefone,DSL,Não,Sim,Não,Não,Sim,Sim,Mensal,Sim,Cheque eletrônico,50.35,1098.85
0214-JHPFW,Não,Mulher,Não,Sim,Não,70,Não,Sem seviço de Telefone,DSL,Não,Sim,Sim,Sim,Sim,Sim,Bienal,Não,Transferência bancária (automática),57.8,4039.3
0215-BQKGS,Não,Homem,Não,Não,Não,30,Sim,Não,Fiber optic,Sim,Sim,Sim,Não,Não,Não,Mensal,Sim,Cartão de crédito (automático),84.3,2438.6
0218-QNVAS,Não,Homem,Não,Sim,Sim,71,Sim,Sim,Fiber optic,Não,Sim,Não,Não,Sim,Sim,Anual,Não,Transferência bancária (automática),100.55,7113.75
0219-QAERP,Não,Homem,Não,Sim,Não,30,Sim,Não,Não,Sem serviço de Internet,Sem serviço de Internet,Sem serviço de Internet,Sem serviço de Internet,Sem serviço de Internet,Sem serviço de Internet,Anual,Não,Cartão de crédito (automático),19.8,576.65
0219-YTZUE,Sim,Homem,Não,Sim,Sim,4,Sim,Sim,Fiber optic,Não,Sim,Sim,Não,Não,Não,Mensal,Sim,Transferência bancária (automática),84.8,371.9
0220-EBGCE,Sim,Homem,Não,Não,Não,2,Sim,Não,Fiber optic,Não,Não,Sim,Não,Não,Sim,Mensal,Sim,Cheque eletrônico,85.85,167.3
0221-NAUXK,Não,Homem,Não,Não,Sim,10,Sim,Não,Não,Sem serviço de Internet,Sem serviço de Internet,Sem serviço de Internet,Sem serviço de Internet,Sem serviço de Internet,Sem serviço de Internet,Anual,Sim,Transferência bancária (automática),19.95,219.5
0221-WMXNQ,Não,Homem,Sim,Não,Não,4,Sim,Não,Fiber optic,Sim,Não,Não,Não,Não,Não,Mensal,Não,Cheque eletrônico,75.35,273.4
0222-CNVPT,Não,Homem,Sim,Não,Não,52,Não,Sem seviço de Telefone,DSL,Sim,Não,Não,Não,Sim,Sim,Mensal,Sim,Cartão de crédito (automático),48.8,2555.05
0224-HJAPT,Sim,Homem,Não,Não,Não,5,Sim,Sim,DSL,Não,Não,Não,Não,Não,Não,Mensal,Não,Cheque eletrônico,47.15,223.15
0224-NIJLP,Não,Homem,Não,Sim,Sim,8,Sim,Não,Não,Sem serviço de Internet,Sem serviço de Internet,Sem serviço de Internet,Sem serviço de Internet,Sem serviço de Internet,Sem serviço de Internet,Bienal,Não,Cheque impresso,20.15,165.5
0224-RLWWD,Não,Mulher,Sim,Não,Não,2,Sim,Não,DSL,Não,Não,Não,Não,Não,Não,Mensal,Sim,Cheque eletrônico,44.3,89.3
0225-ZORZP,Não,Homem,Não,Não,Não,3,Sim,Não,Fiber optic,Não,Sim,Não,Não,Não,Sim,Mensal,Não,Cheque eletrônico,84.3,235.05
0228-MAUWC,Não,Homem,Não,Não,Não,19,Sim,Sim,DSL,Não,Não,Sim,Sim,Não,Não,Mensal,Não,Cheque eletrônico,59.55,1144.6
0229-LFJAF,Não,Homem,Não,Não,Não,72,Sim,Sim,DSL,Sim,Sim,Sim,Sim,Não,Não,Bienal,Não,Transferência bancária (automática),69.65,4908.25
